algorithm,param_name,param_value,fit_mode,fit_seconds,silhouette,calinski_harabasz,davies_bouldin,n_clusters,noise_rate
DBSCAN,eps/min_samples,0.3/3,cpu_fallback,9.160935401916504,,,,1,0.9999890909090909
DBSCAN,eps/min_samples,0.3/5,cpu_fallback,9.243363618850708,,,,0,1.0
DBSCAN,eps/min_samples,0.3/8,cpu_fallback,9.36645770072937,,,,0,1.0
DBSCAN,eps/min_samples,0.3/10,cpu_fallback,9.864160537719727,,,,0,1.0
DBSCAN,eps/min_samples,0.5/3,cpu_fallback,9.898547410964966,0.34739031008217836,52.074434871968926,0.8593494046051406,994,0.9865163636363636
DBSCAN,eps/min_samples,0.5/5,cpu_fallback,22.768592834472656,0.42566280711750326,45.593056580949956,0.8338547910139646,30,0.9993818181818181
DBSCAN,eps/min_samples,0.5/8,cpu_fallback,22.873708248138428,,,,0,1.0
DBSCAN,eps/min_samples,0.5/10,cpu_fallback,9.49349570274353,,,,0,1.0
DBSCAN,eps/min_samples,0.7/3,cpu_fallback,9.715423345565796,-0.34147926646187055,10.015683792006719,1.0681859145011232,3790,0.7594218181818182
DBSCAN,eps/min_samples,0.7/5,cpu_fallback,9.139732360839844,-0.38210297933569215,14.63152130843282,1.1444959822815262,885,0.8523745454545455
DBSCAN,eps/min_samples,0.7/8,cpu_fallback,26.7776038646698,-0.33159365685264913,23.870489128088032,1.2386613946472311,251,0.9204509090909091
DBSCAN,eps/min_samples,0.7/10,cpu_fallback,26.172109842300415,-0.2925317818572211,32.38459661365656,1.2882497337519119,113,0.9466727272727272
DBSCAN,eps/min_samples,0.9/3,cpu_fallback,26.3667950630188,-0.4302039430914926,12.810706826901304,1.0403900474065741,2514,0.4363090909090909
DBSCAN,eps/min_samples,0.9/5,cpu_fallback,8.851723909378052,-0.39732051954425607,30.527615074191434,1.122977423332589,563,0.5174872727272727
DBSCAN,eps/min_samples,0.9/8,cpu_fallback,8.915547370910645,-0.31784987729158587,107.84051894452413,1.3103129603290384,115,0.5895563636363637
DBSCAN,eps/min_samples,0.9/10,cpu_fallback,8.93662977218628,-0.253477230226091,230.262699826855,1.4103293573868303,48,0.62464
DBSCAN,eps/min_samples,1.1/3,cpu_fallback,9.060197830200195,-0.42794411940941274,7.248199273119411,0.9907587837191059,1239,0.22790909090909092
DBSCAN,eps/min_samples,1.1/5,cpu_fallback,9.00816035270691,-0.36395279715294016,8.633073811267815,1.0526771111179953,230,0.27511636363636366
DBSCAN,eps/min_samples,1.1/8,cpu_fallback,9.310407161712646,-0.2882987318613764,10.771809062032723,1.108232457222053,54,0.32324363636363634
DBSCAN,eps/min_samples,1.1/10,cpu_fallback,9.468641996383667,-0.22261284136162926,12.581285334943829,1.2379837115785859,16,0.34785818181818184
DBSCAN,eps/min_samples,1.3/3,cpu_fallback,9.144575357437134,-0.2786929674100551,8.31189332984416,0.9077287022272202,423,0.11157454545454545
DBSCAN,eps/min_samples,1.3/5,cpu_fallback,9.487701416015625,-0.195568160322057,10.373316875393831,0.9224924167731471,82,0.13277818181818182
DBSCAN,eps/min_samples,1.3/8,cpu_fallback,9.11460018157959,-0.010728118981064738,9.817272683914027,0.9427963815481483,9,0.15577818181818182
DBSCAN,eps/min_samples,1.3/10,cpu_fallback,9.27064061164856,0.13088048996327423,16.76686155433368,0.9560563672228399,3,0.1674
DBSCAN,eps/min_samples,1.5/3,cpu_fallback,9.031015872955322,-0.12771468823074428,9.803333297450004,0.8422469671675741,168,0.05136363636363636
DBSCAN,eps/min_samples,1.5/5,cpu_fallback,8.94907259941101,-0.007249166713039241,10.817472516391753,0.8423586384854935,28,0.060803636363636365
DBSCAN,eps/min_samples,1.5/8,cpu_fallback,8.856051921844482,0.12344855757781975,7.3901999281265605,0.9091897975290225,4,0.07097818181818182
DBSCAN,eps/min_samples,1.5/10,cpu_fallback,8.973040103912354,,,,1,0.07642545454545455
DBSCAN,eps/min_samples,1.7/3,cpu_fallback,9.649962425231934,0.0037122082288688907,11.718347247772234,0.8215332303421904,66,0.023661818181818183
DBSCAN,eps/min_samples,1.7/5,cpu_fallback,9.306447744369507,0.15366067646789291,13.529881256667194,0.7556156257480888,10,0.02788
DBSCAN,eps/min_samples,1.7/8,cpu_fallback,9.470370769500732,0.24253220412363302,15.689981053439752,0.9258696856202343,2,0.03236727272727273
DBSCAN,eps/min_samples,1.7/10,cpu_fallback,9.294811725616455,0.30454870411354695,14.558839175373251,0.7988097785963675,2,0.03493818181818182
DBSCAN,eps/min_samples,1.9/3,cpu_fallback,10.27314043045044,0.18362424294056334,14.880345295836136,0.7712118205129646,25,0.01092
DBSCAN,eps/min_samples,1.9/5,cpu_fallback,9.84376859664917,,,,1,0.012698181818181819
DBSCAN,eps/min_samples,1.9/8,cpu_fallback,10.204691886901855,,,,1,0.0148
DBSCAN,eps/min_samples,1.9/10,cpu_fallback,10.07758903503418,,,,1,0.016065454545454546
GMM,n_components,2,cpu_fallback,4.523840427398682,0.15996678376442117,16446.301455281675,2.9283594106416517,2,0.0
